40000162449                     0             LSYHKAAA8AK008704376560         ITopicAzulEscolar16L-4P-Longa-GNV-                                               2012022020110223	AR                                                                                                      
40000162449                     0             LSYHDAAB5BK122793151350         ITopicBrancaPassageiro13L-4P-Curta                                               2012091020110915	465213
40000162449                     0             LSYHDAAB2BK122797151308         ITopicBrancaPassageiro13L-4P-Curta                                               2012091020110915	465213
40000162449                     0             LSYBCAAB2BK053215359460         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012091020110915	465212
40000162449                     0             LSYHDAAB8BK053355376684         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012091020110915	465212
40000162449                     0             LSYHDAAB8BK122755415766         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012091020110915	465212
40000162449                     0             LSYHDAAB6BK122754415770         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012091020110915	465212
40000162449                     0             LSYHDAABXBK122756415780         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012091020110915	465212
40000162449                     0             LSYHDAAB1BK122757415787         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012091020110915	465212
40000162449                     0             LSYHDAAB5BK122762415845         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012091020110915	465212
40000162449                     0             LSYHDAAB7BK122763415846         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012091020110915	465212
40000162449                     0             LSYHDAAB3BK122758424186         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012091020110915	465212
40000162449                     0             LSYHDAAB3BK122761424388         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012091020110915	465212
40000162449                     0             LSYHDAAB9BK122764456205         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012032020110329	465212
40000162449                     0             LSYHDAAB0BK122765456206         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012032020110329	465212
40000162449                     0             LSYHDAAB2BK122766460541         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012032020110329	465212
40000162449                     0             LSYHDAAB4BK122767477794         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012033020110331	465212
40000162449                     0             LSYHDAAB6BK122768476474         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012041020110412	465212
40000162449                     0             LSYHDAAB8BK122769476477         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012042020110429	465212
40000162449                     0             LSYHDAAB4BK122770476478         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012042020110429	465212
40000162449                     0             LSYHDAAB6BK122771481094         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012042020110429	465212
40000162449                     0             LSYHDAAB5BK122776482957         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012050920110509	465212
40000162449                     0             LSYHDAAB1BK122774482958         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012071020110719	465212
40000162449                     0             LSYHDAABXBK122773486223         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB8BK122772486233         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB3BK122775482961         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB7BK122777489612         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB1BK133497526724         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB3BK133498526727         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB5BK133499526729         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB8BK133495526623         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAABXBK133496526638         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYBCAAB0BK134780574259         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYBCAAB1BK134786596647         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB9BK147177658918         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB0BK140425658917         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB9BK147180694117         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB4BK147183732995         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAABXBK147138741159         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB2BK147148743984         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB4BK147149743985         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110831	465212
40000162449                     0             LSYHDAAB9BK140424769358         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012091020110913	465212
40000162449                     0             LSYHDAABXBK147172769327         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012091020110913	465212
40000162449                     0             LSYHDAAB6BK147170777569         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012091020110913	465212
40000162449                     0             LSYHDAAB0BK147164777568         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012091020110913	465212
40000162449                     0             LSYHDAAB6BK147136778462         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012091020110913	465212
40000162449                     0             LSYHDAAB8BK147168790100         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012091020110913	465212
40000162449                     0             LSYHDAABXBK147141805030         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012091020110913	465212
40000162449                     0             LSYHDAAB1BK147142805031         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012031020110316	465212
40000162449                     0             LSYHDAAB8BK147137818279         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012060320110603	465212
40000162449                     0             LSYHDAAB7BK147145819985         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012062020110620	465212
40000162449                     0             LSYHDAAB2BK147151842777         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012082020110825	465212
40000162449                     0             LSYHDAAB5BK147161867324         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012083020110830	465212
40000162449                     0             LSYHDAAB1BK147173928908         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012091020110914	465212
40000162449                     0             LSYHDAAB5BK147158113134         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012071020110712	465212
40000162449                     0             LSYHDAAB8BK147154117425         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012071020110712	465212
40000162449                     0             LSYHDAAB4BK147152118750         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012071020110712	465212
40000162449                     0             LSYHDAAB6BK147153118988         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012071020110719	465212
40000162449                     0             LSYHDAAB3BK147160123550         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012071020110719	465212
40000162449                     0             LSYHDAABXBK140433123207         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012071020110719	465212
40000162449                     0             LSYHDAAB4BK147166123849         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012072020110720	465212
40000162449                     0             LSYHDAAB0BK147181123618         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012072020110720	465212
40000162449                     0             LSYHDAAB8BK140432126123         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012072020110720	465212
40000162449                     0             LSYHDAAB9BK147146126123         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012072020110721	465212
40000162449                     0             LSYHDAAB3BK147157126122         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012072020110721	465212
40000162449                     0             LSYHDAAB6BK140428125889         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012072020110726	465212
40000162449                     0             LSYHDAAB0BK147147125889         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012072020110726	465212
40000162449                     0             LSYHDAAB8BK147171125809         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012072020110727	465212
40000162449                     0             LSYHDAAB8BK147140125895         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012072020110727	465212
40000162449                     0             LSYHDAAB6BK147184125884         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012072020110727	465212
40000162449                     0             LSYHDAAB2BK147165125884         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012072020110727	465212
40000162449                     0             LSYHDAAB9BK147163126114         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012072020110727	465212
40000162449                     0             LSYHDAAB3BK147174125895         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012072020110727	465212
40000162449                     0             LSYHDAAB1BK147139125895         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012072020110727	465212
40000162449                     0             LSYHDAAB2BK147179126110         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012072020110727	465212
40000162449                     0             LSYHDAAB6BK140431126111         ITopicBrancaPassageiro13L4PCurta-COMAR                                           2012072020110729	465212
