13/01/2011;8422;365979;13/01/2011;JTPKKTC13SA4PGSDHBR - Topic  Branca  Passageiro  STD 13 P Renavam 465213;LSYHDAAB7BK121371;363057
13/01/2011;8423;365989;13/01/2011;JTPKKTC13SA4PGSDHBR - Topic  Branca  Passageiro  STD 13 P Renavam 465213;LSYHDAAB7BK121385;362979
13/01/2011;8424;365999;13/01/2011;JTPKKTC13SA4PGSDHBR - Topic  Branca  Passageiro  STD 13 P Renavam 465213;LSYHDAABXBK121381;362975
13/01/2011;8425;366009;13/01/2011;JTPKKTC13SA4PGSDHBR - Topic  Branca  Passageiro  STD 13 P Renavam 465213;LSYHDAAB1BK121382;362976
13/01/2011;8426;366019;13/01/2011;JTPKKTC13SA4PGSDHBR - Topic  Branca  Passageiro  STD 13 P Renavam 465213;LSYHDAAB3BK121383;362977
13/01/2011;8427;366029;13/01/2011;JTPKKTC13SA4PGSDHBR - Topic  Branca  Passageiro  STD 13 P Renavam 465213;LSYHDAAB5BK121384;362978
13/01/2011;8452;365429;13/01/2011;HTWPUCE02CA2PGSBGBR - Towner Branca Pickup CE Baú Farage - COM AR RENAVAM 245707;LKHNF1BG9AAF02654;363650
13/01/2011;8434;366277;13/01/2011;JTPKKTC13SA4PGSDHBR - Topic  Branca  Passageiro  STD 13 P Renavam 465213;LSYHDAAB4BK121375;363598
13/01/2011;8435;364509;13/01/2011;JTPESTC16SA4PGSXXBR - Topic Branca Escolar 16L - 4P - Curta RENAVAM 245903;LSYHDAAA5AK006810;363607
13/01/2011;8436;364519;13/01/2011;JTPESTL17SA4PGSXXBR - Topic Branca Escolar 17L - 4P - Longa RENAVAM 245906;LSYHKAAA7AK006796;363611
13/01/2011;8440;369109;13/01/2011;HTWPUCS02SA2PGSXXBR - Towner Branca Pickup JR CS  RENAVAN 245723;LKHNC1CG3BAT04660;363617
13/01/2011;8438;364548;13/01/2011;JTPKKTC13SA4PGSDHBR - Topic  Branca  Passageiro  STD 13 P Renavam 465213;LSYHDAAB2BK121388;363016
13/01/2011;8450;365409;13/01/2011;JTPKKTC13SA4PGSDHBR - Topic  Branca  Passageiro  STD 13 P Renavam 465213;LSYHDAAB0BK121387;363015
13/01/2011;8437;364532;13/01/2011;JTPKKTC13SA4PGSDHBR - Topic  Branca  Passageiro  STD 13 P Renavam 465213;LSYHDAABXBK121378;363638
13/01/2011;8439;369087;13/01/2011;HTWPUCS02SA2PGSXXBR - Towner Branca Pickup JR CS  RENAVAN 245723;LKHNC1CG7BAT04659;363616
14/01/2011;8462;371528;14/01/2011;HTWPUCS02SA2PGSXXBR - Towner Branca Pickup JR CS  RENAVAN 245723;LKHNC1CGXBAT04672;363735
14/01/2011;8464;371548;14/01/2011;HTWPUCS02SA2PGSXXBR - Towner Branca Pickup JR CS  RENAVAN 245723;LKHNC1CG3BAT04674;363737
14/01/2011;8457;371444;14/01/2011;HTWPUCS02SA2PGSXXDO - Towner Dourada Pickup JR CS RENAVAN 245723;LKHNC1CGXBAT04803;363728
14/01/2011;8477;371996;14/01/2011;HTWPUCS02SA2PGSBHBR - Towner Branca Pickup JR CS Baú Hafei  Renavam 245724;LKHNC1CG1BAT04916;363780
14/01/2011;8478;372006;14/01/2011;HTWPUCS02SA2PGSBHBR - Towner Branca Pickup JR CS Baú Hafei  Renavam 245724;LKHNC1CG3BAT04917;363781
14/01/2011;8479;372016;14/01/2011;HTWPUCS02SA2PGSBHBR - Towner Branca Pickup JR CS Baú Hafei  Renavam 245724;LKHNC1CG5BAT04918;363782
14/01/2011;8482;372036;14/01/2011;HTWPUCS02SA2PGSBHBR - Towner Branca Pickup JR CS Baú Hafei  Renavam 245724;LKHNC1CG3BAT04920;363789
14/01/2011;8463;371538;14/01/2011;HTWPUCS02SA2PGSXXBR - Towner Branca Pickup JR CS  RENAVAN 245723;LKHNC1CG1BAT04673;363736
14/01/2011;8470;371934;14/01/2011;HTWPUCE02SA2PGSBCPA - Towner Prata Pickup CE Baú Facchini Renavam 245707;LKHNF1BGXBAF00607;363681
14/01/2011;8472;371956;14/01/2011;HTWPUCS02SA2PGSBHBR - Towner Branca Pickup JR CS Baú Hafei  Renavam 245724;LKHNC1CG4BAT04912;363767
14/01/2011;8460;371469;14/01/2011;HTWPUCS02SA2PGSXXDO - Towner Dourada Pickup JR CS RENAVAN 245723;LKHNC1CG3BAT04805;363718
14/01/2011;8461;371479;14/01/2011;HTWPUCS02SA2PGSXXBR - Towner Branca Pickup JR CS  RENAVAN 245723;LKHNC1CG8BAT04671;363734
14/01/2011;8467;371904;14/01/2011;JTPKKTC13SA4PGSDHBR - Topic  Branca  Passageiro  STD 13 P Renavam 465213;LSYHDAAB1BK121379;363752
14/01/2011;8468;371914;14/01/2011;JTPKKTC13SA4PGSDHBR - Topic  Branca  Passageiro  STD 13 P Renavam 465213;LSYHDAAB6BK121393;363753
14/01/2011;8465;371558;14/01/2011;HTWPUCS02SA2PGSXXBR - Towner Branca Pickup JR CS  RENAVAN 245723;LKHNC1CG5BAT04675;363738
14/01/2011;8455;370074;14/01/2011;HTWPUCS02SA2PGSXXPA - Towner Prata Pickup JR CS RENAVAN 245723;LKHNC1CG7BAT04712;363713
14/01/2011;8473;371966;14/01/2011;HTWPUCS02SA2PGSBHBR - Towner Branca Pickup JR CS Baú Hafei  Renavam 245724;LKHNC1CG6BAT04913;363768
14/01/2011;8474;371976;14/01/2011;HTWPUCS02SA2PGSBHBR - Towner Branca Pickup JR CS Baú Hafei  Renavam 245724;LKHNC1CG8BAT04914;363773
14/01/2011;8475;371986;14/01/2011;HTWPUCS02SA2PGSBHBR - Towner Branca Pickup JR CS Baú Hafei  Renavam 245724;LKHNC1CGXBAT04915;363774
14/01/2011;8476;370112;14/01/2011;HTWPUCS02SA2PGSXXPA - Towner Prata Pickup JR CS RENAVAN 245723;LKHNC1CG2BAT04729;363797
14/01/2011;8466;371568;14/01/2011;HTWPUCS02SA2PGSXXBR - Towner Branca Pickup JR CS  RENAVAN 245723;LKHNC1CG7BAT04676;363739
14/01/2011;8480;372026;14/01/2011;HTWPUCS02SA2PGSBHBR - Towner Branca Pickup JR CS Baú Hafei  Renavam 245724;LKHNC1CG7BAT04919;363788
14/01/2011;8481;370122;14/01/2011;HTWPUCS02SA2PGSXXPA - Towner Prata Pickup JR CS RENAVAN 245723;LKHNC1CG9BAT04730;363798
14/01/2011;8456;371439;14/01/2011;HTWPUCS02SA2PGSXXPA - Towner Prata Pickup JR CS RENAVAN 245723;LKHNC1CG9BAT04713;363727
14/01/2011;8483;372046;14/01/2011;HTWPUCS02SA2PGSBHBR - Towner Branca Pickup JR CS Baú Hafei  Renavam 245724;LKHNC1CG5BAT04921;363790
14/01/2011;8458;371454;14/01/2011;HTWPUCS02SA2PGSXXPA - Towner Prata Pickup JR CS RENAVAN 245723;LKHNC1CG0BAT04714;363714
14/01/2011;8459;371459;14/01/2011;HTWPUCS02SA2PGSXXDO - Towner Dourada Pickup JR CS RENAVAN 245723;LKHNC1CG1BAT04804;363715
14/01/2011;8484;372056;14/01/2011;HTWPUCS02SA2PGSBHBR - Towner Branca Pickup JR CS Baú Hafei  Renavam 245724;LKHNC1CG2BAT04911;363761
15/01/2011;8488;373486;15/01/2011;HTWPUCS02SA2PGSXXBR - Towner Branca Pickup JR CS  RENAVAN 245723;LKHNC1CG0BAT04650;373434
15/01/2011;8489;373496;15/01/2011;HTWPUCS02SA2PGSXXBR - Towner Branca Pickup JR CS  RENAVAN 245723;LKHNC1CG2BAT04651;373435
15/01/2011;8492;373526;15/01/2011;HTWPUCS02SA2PGSXXBR - Towner Branca Pickup JR CS  RENAVAN 245723;LKHNC1CG8BAT04654;373438
15/01/2011;8493;373536;15/01/2011;HTWPUCS02SA2PGSXXBR - Towner Branca Pickup JR CS  RENAVAN 245723;LKHNC1CGXBAT04655;373440
15/01/2011;8485;373452;15/01/2011;HTWPUCS02SA2PGSXXBR - Towner Branca Pickup JR CS  RENAVAN 245723;LKHNC1CG0BAT04647;373431
15/01/2011;8494;373546;15/01/2011;HTWPUCS02SA2PGSXXBR - Towner Branca Pickup JR CS  RENAVAN 245723;LKHNC1CG1BAT04656;373441
15/01/2011;8486;373462;15/01/2011;HTWPUCS02SA2PGSXXBR - Towner Branca Pickup JR CS  RENAVAN 245723;LKHNC1CG2BAT04648;373432
15/01/2011;8487;373472;15/01/2011;HTWPUCS02SA2PGSXXBR - Towner Branca Pickup JR CS  RENAVAN 245723;LKHNC1CG4BAT04649;373433
15/01/2011;8490;373506;15/01/2011;HTWPUCS02SA2PGSXXBR - Towner Branca Pickup JR CS  RENAVAN 245723;LKHNC1CG4BAT04652;373436
